 3.55000000e+02 -9.50181406e-03  3.55000000e+02 -2.09039909e-03  3.55000000e+02 -8.00000000e+00 
 3.60000000e+02 -9.80755193e-03  3.60000000e+02 -2.15766142e-03  3.60000000e+02 -8.00000000e+00 
 3.65000000e+02 -1.01181771e-02  3.65000000e+02 -2.22599896e-03  3.65000000e+02 -8.00000000e+00 
 3.70000000e+02 -1.04336898e-02  3.70000000e+02 -2.29541176e-03  3.70000000e+02 -8.00000000e+00 
 3.75000000e+02 -1.07540903e-02  3.75000000e+02 -2.36589988e-03  3.75000000e+02 -8.00000000e+00 
 3.80000000e+02 -1.10793789e-02  3.80000000e+02 -2.43746335e-03  3.80000000e+02 -8.00000000e+00 
 3.85000000e+02 -1.14095556e-02  3.85000000e+02 -2.51010224e-03  3.85000000e+02 -8.00000000e+00 
 3.90000000e+02 -1.17446208e-02  3.90000000e+02 -2.58381658e-03  3.90000000e+02 -8.00000000e+00 
 3.95000000e+02 -1.20845746e-02  3.95000000e+02 -2.65860642e-03  3.95000000e+02 -8.00000000e+00 
 4.00000000e+02 -1.24294173e-02  4.00000000e+02 -2.73447180e-03  4.00000000e+02 -8.00000000e+00 
 4.05000000e+02 -1.27791488e-02  4.05000000e+02 -2.81141275e-03  4.05000000e+02 -8.00000000e+00 
 4.10000000e+02 -1.31337696e-02  4.10000000e+02 -2.88942931e-03  4.10000000e+02 -8.00000000e+00 
 4.15000000e+02 -1.34932796e-02  4.15000000e+02 -2.96852151e-03  4.15000000e+02 -8.00000000e+00 
 4.20000000e+02 -1.38576791e-02  4.20000000e+02 -3.04868939e-03  4.20000000e+02 -8.00000000e+00 
 4.25000000e+02 -1.42269681e-02  4.25000000e+02 -3.12993299e-03  4.25000000e+02 -8.00000000e+00 
 4.30000000e+02 -1.46011469e-02  4.30000000e+02 -3.21225232e-03  4.30000000e+02 -8.00000000e+00 
 4.35000000e+02 -1.49802155e-02  4.35000000e+02 -3.29564742e-03  4.35000000e+02 -8.00000000e+00 
 4.40000000e+02 -1.53641741e-02  4.40000000e+02 -3.38011831e-03  4.40000000e+02 -8.00000000e+00 
 4.45000000e+02 -1.57530228e-02  4.45000000e+02 -3.46566502e-03  4.45000000e+02 -8.00000000e+00 
 4.50000000e+02 -1.61467617e-02  4.50000000e+02 -3.55228758e-03  4.50000000e+02 -8.00000000e+00 
 4.55000000e+02 -1.65453910e-02  4.55000000e+02 -3.63998601e-03  4.55000000e+02 -8.00000000e+00 
 4.60000000e+02 -1.69489106e-02  4.60000000e+02 -3.72876033e-03  4.60000000e+02 -8.00000000e+00 
 4.65000000e+02 -1.73573208e-02  4.65000000e+02 -3.81861057e-03  4.65000000e+02 -8.00000000e+00 
 4.70000000e+02 -1.77706216e-02  4.70000000e+02 -3.90953674e-03  4.70000000e+02 -8.00000000e+00 
 4.75000000e+02 -1.81888130e-02  4.75000000e+02 -4.00153887e-03  4.75000000e+02 -8.00000000e+00 
 4.80000000e+02 -1.86118953e-02  4.80000000e+02 -4.09461697e-03  4.80000000e+02 -8.00000000e+00 
 4.85000000e+02 -1.90398685e-02  4.85000000e+02 -4.18877106e-03  4.85000000e+02 -8.00000000e+00 
 4.90000000e+02 -1.94727326e-02  4.90000000e+02 -4.28400116e-03  4.90000000e+02 -8.00000000e+00 
 4.95000000e+02 -1.99104877e-02  4.95000000e+02 -4.38030729e-03  4.95000000e+02 -8.00000000e+00 
 5.00000000e+02 -2.03531339e-02  5.00000000e+02 -4.47768947e-03  5.00000000e+02 -8.00000000e+00 
 0.00000000e+00 -0.00000000e+00  0.00000000e+00 -5.81395349e-28  0.00000000e+00 -7.00000000e+00 
 5.00000000e+00 -9.77636560e-06  5.00000000e+00 -9.68590529e-06  5.00000000e+00 -7.00000000e+00 
 1.00000000e+01 -3.27152688e-05  1.00000000e+01 -1.67171213e-05  1.00000000e+01 -7.00000000e+00 
 1.50000000e+01 -5.99266888e-05  1.50000000e+01 -2.17898509e-05  1.50000000e+01 -7.00000000e+00 
 2.00000000e+01 -9.15434357e-05  2.00000000e+01 -2.73036372e-05  2.00000000e+01 -7.00000000e+00 
 2.50000000e+01 -1.27649891e-04  2.50000000e+01 -3.37905531e-05  2.50000000e+01 -7.00000000e+00 
 3.00000000e+01 -1.68216585e-04  3.00000000e+01 -4.14145612e-05  3.00000000e+01 -7.00000000e+00 
 3.50000000e+01 -2.13216077e-04  3.50000000e+01 -5.02270616e-05  3.50000000e+01 -7.00000000e+00 
 4.00000000e+01 -2.62667055e-04  4.00000000e+01 -6.02370890e-05  4.00000000e+01 -7.00000000e+00 
 4.50000000e+01 -3.16620972e-04  4.50000000e+01 -7.14350410e-05  4.50000000e+01 -7.00000000e+00 
 5.00000000e+01 -3.75143496e-04  5.00000000e+01 -8.38039912e-05  5.00000000e+01 -7.00000000e+00 
