 3.20000000e+02 -4.78951082e-03  3.20000000e+02 -9.57902164e-04  3.20000000e+02 -2.50000000e+00 
 3.25000000e+02 -4.91255478e-03  3.25000000e+02 -9.82510956e-04  3.25000000e+02 -2.50000000e+00 
 3.30000000e+02 -5.03719904e-03  3.30000000e+02 -1.00743981e-03  3.30000000e+02 -2.50000000e+00 
 3.35000000e+02 -5.16344337e-03  3.35000000e+02 -1.03268867e-03  3.35000000e+02 -2.50000000e+00 
 3.40000000e+02 -5.29128753e-03  3.40000000e+02 -1.05825751e-03  3.40000000e+02 -2.50000000e+00 
 3.45000000e+02 -5.42073130e-03  3.45000000e+02 -1.08414626e-03  3.45000000e+02 -2.50000000e+00 
 3.50000000e+02 -5.55177449e-03  3.50000000e+02 -1.11035490e-03  3.50000000e+02 -2.50000000e+00 
 3.55000000e+02 -5.68441689e-03  3.55000000e+02 -1.13688338e-03  3.55000000e+02 -2.50000000e+00 
 3.60000000e+02 -5.81865833e-03  3.60000000e+02 -1.16373167e-03  3.60000000e+02 -2.50000000e+00 
 3.65000000e+02 -5.95449863e-03  3.65000000e+02 -1.19089973e-03  3.65000000e+02 -2.50000000e+00 
 3.70000000e+02 -6.09193763e-03  3.70000000e+02 -1.21838753e-03  3.70000000e+02 -2.50000000e+00 
 3.75000000e+02 -6.23097517e-03  3.75000000e+02 -1.24619503e-03  3.75000000e+02 -2.50000000e+00 
 3.80000000e+02 -6.37161110e-03  3.80000000e+02 -1.27432222e-03  3.80000000e+02 -2.50000000e+00 
 3.85000000e+02 -6.51384528e-03  3.85000000e+02 -1.30276906e-03  3.85000000e+02 -2.50000000e+00 
 3.90000000e+02 -6.65767758e-03  3.90000000e+02 -1.33153552e-03  3.90000000e+02 -2.50000000e+00 
 3.95000000e+02 -6.80310788e-03  3.95000000e+02 -1.36062158e-03  3.95000000e+02 -2.50000000e+00 
 4.00000000e+02 -6.95013604e-03  4.00000000e+02 -1.39002721e-03  4.00000000e+02 -2.50000000e+00 
 4.05000000e+02 -7.09876196e-03  4.05000000e+02 -1.41975239e-03  4.05000000e+02 -2.50000000e+00 
 4.10000000e+02 -7.24898552e-03  4.10000000e+02 -1.44979710e-03  4.10000000e+02 -2.50000000e+00 
 4.15000000e+02 -7.40080663e-03  4.15000000e+02 -1.48016133e-03  4.15000000e+02 -2.50000000e+00 
 4.20000000e+02 -7.55422517e-03  4.20000000e+02 -1.51084503e-03  4.20000000e+02 -2.50000000e+00 
 4.25000000e+02 -7.70924106e-03  4.25000000e+02 -1.54184821e-03  4.25000000e+02 -2.50000000e+00 
 4.30000000e+02 -7.86585421e-03  4.30000000e+02 -1.57317084e-03  4.30000000e+02 -2.50000000e+00 
 4.35000000e+02 -8.02406452e-03  4.35000000e+02 -1.60481290e-03  4.35000000e+02 -2.50000000e+00 
 4.40000000e+02 -8.18387191e-03  4.40000000e+02 -1.63677438e-03  4.40000000e+02 -2.50000000e+00 
 4.45000000e+02 -8.34527631e-03  4.45000000e+02 -1.66905526e-03  4.45000000e+02 -2.50000000e+00 
 4.50000000e+02 -8.50827764e-03  4.50000000e+02 -1.70165553e-03  4.50000000e+02 -2.50000000e+00 
 4.55000000e+02 -8.67287582e-03  4.55000000e+02 -1.73457516e-03  4.55000000e+02 -2.50000000e+00 
 4.60000000e+02 -8.83907080e-03  4.60000000e+02 -1.76781416e-03  4.60000000e+02 -2.50000000e+00 
 4.65000000e+02 -9.00686249e-03  4.65000000e+02 -1.80137250e-03  4.65000000e+02 -2.50000000e+00 
 4.70000000e+02 -9.17625083e-03  4.70000000e+02 -1.83525017e-03  4.70000000e+02 -2.50000000e+00 
 4.75000000e+02 -9.34723577e-03  4.75000000e+02 -1.86944715e-03  4.75000000e+02 -2.50000000e+00 
 4.80000000e+02 -9.51981724e-03  4.80000000e+02 -1.90396345e-03  4.80000000e+02 -2.50000000e+00 
 4.85000000e+02 -9.69399520e-03  4.85000000e+02 -1.93879904e-03  4.85000000e+02 -2.50000000e+00 
 4.90000000e+02 -9.86976957e-03  4.90000000e+02 -1.97395391e-03  4.90000000e+02 -2.50000000e+00 
 4.95000000e+02 -1.00471403e-02  4.95000000e+02 -2.00942806e-03  4.95000000e+02 -2.50000000e+00 
 5.00000000e+02 -1.02261074e-02  5.00000000e+02 -2.04522148e-03  5.00000000e+02 -2.50000000e+00 
 0.00000000e+00 -0.00000000e+00  0.00000000e+00 -4.20168067e-27  0.00000000e+00 -2.00000000e+00 
 5.00000000e+00 -7.52127131e-04  5.00000000e+00 -7.30125187e-04  5.00000000e+00 -2.00000000e+00 
 1.00000000e+01 -2.06794729e-03  1.00000000e+01 -1.01533804e-03  1.00000000e+01 -2.00000000e+00 
 1.50000000e+01 -2.95278438e-03  1.50000000e+01 -1.01460169e-03  1.50000000e+01 -2.00000000e+00 
 2.00000000e+01 -3.51063045e-03  2.00000000e+01 -9.76863891e-04  2.00000000e+01 -2.00000000e+00 
 2.50000000e+01 -3.87500177e-03  2.50000000e+01 -9.48262319e-04  2.50000000e+01 -2.00000000e+00 
 3.00000000e+01 -4.12351752e-03  3.00000000e+01 -9.32730791e-04  3.00000000e+01 -2.00000000e+00 
 3.50000000e+01 -4.30238075e-03  3.50000000e+01 -9.27459182e-04  3.50000000e+01 -2.00000000e+00 
 4.00000000e+01 -4.43882957e-03  4.00000000e+01 -9.29174336e-04  4.00000000e+01 -2.00000000e+00 
 4.50000000e+01 -4.54928030e-03  4.50000000e+01 -9.35408896e-04  4.50000000e+01 -2.00000000e+00 
 5.00000000e+01 -4.64378748e-03  5.00000000e+01 -9.44508422e-04  5.00000000e+01 -2.00000000e+00 
 5.50000000e+01 -4.73263551e-03  5.50000000e+01 -9.54650497e-04  5.50000000e+01 -2.00000000e+00 
 6.00000000e+01 -4.81002939e-03  6.00000000e+01 -9.67002849e-04  6.00000000e+01 -2.00000000e+00 
 6.50000000e+01 -4.88477460e-03  6.50000000e+01 -9.80029539e-04  6.50000000e+01 -2.00000000e+00 
 7.00000000e+01 -4.95831605e-03  7.00000000e+01 -9.93554919e-04  7.00000000e+01 -2.00000000e+00 
 7.50000000e+01 -5.03161588e-03  7.50000000e+01 -1.00748709e-03  7.50000000e+01 -2.00000000e+00 
 8.00000000e+01 -5.10533840e-03  8.00000000e+01 -1.02178383e-03  8.00000000e+01 -2.00000000e+00 
 8.50000000e+01 -5.17995227e-03  8.50000000e+01 -1.03643114e-03  8.50000000e+01 -2.00000000e+00 
 9.00000000e+01 -5.25579487e-03  9.00000000e+01 -1.05143018e-03  9.00000000e+01 -2.00000000e+00 
 9.50000000e+01 -5.33311330e-03  9.50000000e+01 -1.06678958e-03  9.50000000e+01 -2.00000000e+00 
 1.00000000e+02 -5.41209102e-03  1.00000000e+02 -1.08252095e-03  1.00000000e+02 -2.00000000e+00 
 1.05000000e+02 -5.49286540e-03  1.05000000e+02 -1.09863634e-03  1.05000000e+02 -2.00000000e+00 
 1.10000000e+02 -5.57553970e-03  1.10000000e+02 -1.11514689e-03  1.10000000e+02 -2.00000000e+00 
 1.15000000e+02 -5.66019134e-03  1.15000000e+02 -1.13206225e-03  1.15000000e+02 -2.00000000e+00 
 1.20000000e+02 -5.74687781e-03  1.20000000e+02 -1.14939034e-03  1.20000000e+02 -2.00000000e+00 
 1.25000000e+02 -5.83564103e-03  1.25000000e+02 -1.16713731e-03  1.25000000e+02 -2.00000000e+00 
 1.30000000e+02 -5.92651062e-03  1.30000000e+02 -1.18530773e-03  1.30000000e+02 -2.00000000e+00 
 1.35000000e+02 -6.01950641e-03  1.35000000e+02 -1.20390474e-03  1.35000000e+02 -2.00000000e+00 
 1.40000000e+02 -6.11464044e-03  1.40000000e+02 -1.22293022e-03  1.40000000e+02 -2.00000000e+00 
 1.45000000e+02 -6.21191850e-03  1.45000000e+02 -1.24238501e-03  1.45000000e+02 -2.00000000e+00 
 1.50000000e+02 -6.31134141e-03  1.50000000e+02 -1.26226909e-03  1.50000000e+02 -2.00000000e+00 
 1.55000000e+02 -6.41290603e-03  1.55000000e+02 -1.28258170e-03  1.55000000e+02 -2.00000000e+00 
 1.60000000e+02 -6.51660610e-03  1.60000000e+02 -1.30332153e-03  1.60000000e+02 -2.00000000e+00 
 1.65000000e+02 -6.62243294e-03  1.65000000e+02 -1.32448678e-03  1.65000000e+02 -2.00000000e+00 
 1.70000000e+02 -6.73037599e-03  1.70000000e+02 -1.34607532e-03  1.70000000e+02 -2.00000000e+00 
 1.75000000e+02 -6.84042328e-03  1.75000000e+02 -1.36808473e-03  1.75000000e+02 -2.00000000e+00 
 1.80000000e+02 -6.95256179e-03  1.80000000e+02 -1.39051240e-03  1.80000000e+02 -2.00000000e+00 
 1.85000000e+02 -7.06677777e-03  1.85000000e+02 -1.41335558e-03  1.85000000e+02 -2.00000000e+00 
 1.90000000e+02 -7.18305701e-03  1.90000000e+02 -1.43661142e-03  1.90000000e+02 -2.00000000e+00 
 1.95000000e+02 -7.30138499e-03  1.95000000e+02 -1.46027701e-03  1.95000000e+02 -2.00000000e+00 
 2.00000000e+02 -7.42174710e-03  2.00000000e+02 -1.48434943e-03  2.00000000e+02 -2.00000000e+00 
 2.05000000e+02 -7.54412876e-03  2.05000000e+02 -1.50882575e-03  2.05000000e+02 -2.00000000e+00 
 2.10000000e+02 -7.66851547e-03  2.10000000e+02 -1.53370310e-03  2.10000000e+02 -2.00000000e+00 
 2.15000000e+02 -7.79489298e-03  2.15000000e+02 -1.55897860e-03  2.15000000e+02 -2.00000000e+00 
 2.20000000e+02 -7.92324729e-03  2.20000000e+02 -1.58464946e-03  2.20000000e+02 -2.00000000e+00 
 2.25000000e+02 -8.05356474e-03  2.25000000e+02 -1.61071295e-03  2.25000000e+02 -2.00000000e+00 
 2.30000000e+02 -8.18583199e-03  2.30000000e+02 -1.63716640e-03  2.30000000e+02 -2.00000000e+00 
 2.35000000e+02 -8.32003612e-03  2.35000000e+02 -1.66400722e-03  2.35000000e+02 -2.00000000e+00 
 2.40000000e+02 -8.45616459e-03  2.40000000e+02 -1.69123292e-03  2.40000000e+02 -2.00000000e+00 
 2.45000000e+02 -8.59420528e-03  2.45000000e+02 -1.71884106e-03  2.45000000e+02 -2.00000000e+00 
 2.50000000e+02 -8.73414650e-03  2.50000000e+02 -1.74682930e-03  2.50000000e+02 -2.00000000e+00 
 2.55000000e+02 -8.87597695e-03  2.55000000e+02 -1.77519539e-03  2.55000000e+02 -2.00000000e+00 
 2.60000000e+02 -9.01968578e-03  2.60000000e+02 -1.80393716e-03  2.60000000e+02 -2.00000000e+00 
 2.65000000e+02 -9.16526252e-03  2.65000000e+02 -1.83305250e-03  2.65000000e+02 -2.00000000e+00 
 2.70000000e+02 -9.31269714e-03  2.70000000e+02 -1.86253943e-03  2.70000000e+02 -2.00000000e+00 
 2.75000000e+02 -9.46197997e-03  2.75000000e+02 -1.89239599e-03  2.75000000e+02 -2.00000000e+00 
 2.80000000e+02 -9.61310176e-03  2.80000000e+02 -1.92262035e-03  2.80000000e+02 -2.00000000e+00 
 2.85000000e+02 -9.76605359e-03  2.85000000e+02 -1.95321072e-03  2.85000000e+02 -2.00000000e+00 
 2.90000000e+02 -9.92082695e-03  2.90000000e+02 -1.98416539e-03  2.90000000e+02 -2.00000000e+00 
 2.95000000e+02 -1.00774136e-02  2.95000000e+02 -2.01548273e-03  2.95000000e+02 -2.00000000e+00 
 3.00000000e+02 -1.02358058e-02  3.00000000e+02 -2.04716117e-03  3.00000000e+02 -2.00000000e+00 
 3.05000000e+02 -1.03959960e-02  3.05000000e+02 -2.07919920e-03  3.05000000e+02 -2.00000000e+00 
 3.10000000e+02 -1.05579769e-02  3.10000000e+02 -2.11159538e-03  3.10000000e+02 -2.00000000e+00 
 3.15000000e+02 -1.07217416e-02  3.15000000e+02 -2.14434833e-03  3.15000000e+02 -2.00000000e+00 
 3.20000000e+02 -1.08872836e-02  3.20000000e+02 -2.17745673e-03  3.20000000e+02 -2.00000000e+00 
 3.25000000e+02 -1.10545965e-02  3.25000000e+02 -2.21091930e-03  3.25000000e+02 -2.00000000e+00 
 3.30000000e+02 -1.12236741e-02  3.30000000e+02 -2.24473482e-03  3.30000000e+02 -2.00000000e+00 
 3.35000000e+02 -1.13945107e-02  3.35000000e+02 -2.27890214e-03  3.35000000e+02 -2.00000000e+00 
 3.40000000e+02 -1.15671007e-02  3.40000000e+02 -2.31342013e-03  3.40000000e+02 -2.00000000e+00 
 3.45000000e+02 -1.17414386e-02  3.45000000e+02 -2.34828772e-03  3.45000000e+02 -2.00000000e+00 
 3.50000000e+02 -1.19175194e-02  3.50000000e+02 -2.38350388e-03  3.50000000e+02 -2.00000000e+00 
 3.55000000e+02 -1.20953381e-02  3.55000000e+02 -2.41906762e-03  3.55000000e+02 -2.00000000e+00 
 3.60000000e+02 -1.22748900e-02  3.60000000e+02 -2.45497800e-03  3.60000000e+02 -2.00000000e+00 
 3.65000000e+02 -1.24561706e-02  3.65000000e+02 -2.49123411e-03  3.65000000e+02 -2.00000000e+00 
 3.70000000e+02 -1.26391754e-02  3.70000000e+02 -2.52783508e-03  3.70000000e+02 -2.00000000e+00 
 3.75000000e+02 -1.28239003e-02  3.75000000e+02 -2.56478007e-03  3.75000000e+02 -2.00000000e+00 
 3.80000000e+02 -1.30103414e-02  3.80000000e+02 -2.60206827e-03  3.80000000e+02 -2.00000000e+00 
 3.85000000e+02 -1.31984946e-02  3.85000000e+02 -2.63969892e-03  3.85000000e+02 -2.00000000e+00 
 3.90000000e+02 -1.33883564e-02  3.90000000e+02 -2.67767128e-03  3.90000000e+02 -2.00000000e+00 
 3.95000000e+02 -1.35799232e-02  3.95000000e+02 -2.71598463e-03  3.95000000e+02 -2.00000000e+00 
 4.00000000e+02 -1.37731915e-02  4.00000000e+02 -2.75463830e-03  4.00000000e+02 -2.00000000e+00 
 4.05000000e+02 -1.39681581e-02  4.05000000e+02 -2.79363161e-03  4.05000000e+02 -2.00000000e+00 
 4.10000000e+02 -1.41648197e-02  4.10000000e+02 -2.83296395e-03  4.10000000e+02 -2.00000000e+00 
 4.15000000e+02 -1.43631735e-02  4.15000000e+02 -2.87263470e-03  4.15000000e+02 -2.00000000e+00 
 4.20000000e+02 -1.45632164e-02  4.20000000e+02 -2.91264328e-03  4.20000000e+02 -2.00000000e+00 
 4.25000000e+02 -1.47649456e-02  4.25000000e+02 -2.95298912e-03  4.25000000e+02 -2.00000000e+00 
 4.30000000e+02 -1.49683585e-02  4.30000000e+02 -2.99367169e-03  4.30000000e+02 -2.00000000e+00 
 4.35000000e+02 -1.51734523e-02  4.35000000e+02 -3.03469047e-03  4.35000000e+02 -2.00000000e+00 
 4.40000000e+02 -1.53802247e-02  4.40000000e+02 -3.07604494e-03  4.40000000e+02 -2.00000000e+00 
 4.45000000e+02 -1.55886732e-02  4.45000000e+02 -3.11773464e-03  4.45000000e+02 -2.00000000e+00 
 4.50000000e+02 -1.57987954e-02  4.50000000e+02 -3.15975908e-03  4.50000000e+02 -2.00000000e+00 
 4.55000000e+02 -1.60105892e-02  4.55000000e+02 -3.20211784e-03  4.55000000e+02 -2.00000000e+00 
 4.60000000e+02 -1.62240523e-02  4.60000000e+02 -3.24481046e-03  4.60000000e+02 -2.00000000e+00 
 4.65000000e+02 -1.64391827e-02  4.65000000e+02 -3.28783654e-03  4.65000000e+02 -2.00000000e+00 
 4.70000000e+02 -1.66559783e-02  4.70000000e+02 -3.33119566e-03  4.70000000e+02 -2.00000000e+00 
 4.75000000e+02 -1.68744373e-02  4.75000000e+02 -3.37488746e-03  4.75000000e+02 -2.00000000e+00 
 4.80000000e+02 -1.70945577e-02  4.80000000e+02 -3.41891154e-03  4.80000000e+02 -2.00000000e+00 
 4.85000000e+02 -1.73163378e-02  4.85000000e+02 -3.46326755e-03  4.85000000e+02 -2.00000000e+00 
 4.90000000e+02 -1.75397757e-02  4.90000000e+02 -3.50795515e-03  4.90000000e+02 -2.00000000e+00 
 4.95000000e+02 -1.77648699e-02  4.95000000e+02 -3.55297398e-03  4.95000000e+02 -2.00000000e+00 
 5.00000000e+02 -1.79916187e-02  5.00000000e+02 -3.59832374e-03  5.00000000e+02 -2.00000000e+00 
